trial,sweep,seg,pos,site,residual
2,3,right,5,3,0.01227989658892139
2,3,right,6,2,0.012280000318856907
2,3,right,7,1,0.012280003082446258
2,4,right,1,7,0.012282441860291546
2,4,right,2,6,0.012282441860291546
2,4,right,3,5,0.01228244239620905
2,4,right,4,4,0.012282759176633542
2,4,right,5,3,0.01228376176510046
2,4,right,6,2,0.012283815817525485
2,4,right,7,1,0.012283817979689493
2,5,right,1,7,0.01228465675561875
2,5,right,2,6,0.01228465675561875
2,5,right,3,5,0.012284656881168263
2,5,right,4,4,0.01228484969656956
2,5,right,5,3,0.012285159881101822
2,5,right,6,2,0.012285188223180803
2,5,right,7,1,0.012285190456211778
2,6,right,1,7,0.012285537030635596
2,6,right,2,6,0.012285537030635596
2,6,right,3,5,0.012285537071374067
2,6,right,4,4,0.012285637821331562
2,6,right,5,3,0.01228575223329734
2,6,right,6,2,0.012285764101108834
2,6,right,7,1,0.012285765226794032
2,7,right,1,7,0.012285916681042038
2,7,right,2,6,0.012285916681042038
2,7,right,3,5,0.012285916696967157
2,7,right,4,4,0.012285966874489974
2,7,right,5,3,0.012286012792240052
2,7,right,6,2,0.01228601748588199
2,7,right,7,1,0.012286017962927028
2,8,right,1,7,0.01228608605367218
2,8,right,2,6,0.01228608605367218
2,8,right,3,5,0.012286086060496271
2,8,right,4,4,0.012286110767495828
2,8,right,5,3,0.012286130033236893
2,8,right,6,2,0.012286131893091789
2,8,right,7,1,0.012286132084975794
2,9,right,1,7,0.012286163337185697
2,9,right,2,6,0.012286163337185697
2,9,right,3,5,0.012286163340241676
2,9,right,4,4,0.01228617551083763
2,9,right,5,3,0.012286183819656632
2,9,right,6,2,0.01228618457390839
2,9,right,7,1,0.012286184649869757
2,10,right,1,7,0.012286199236734923
2,10,right,2,6,0.012286199236734923
2,10,right,3,5,0.012286199238135148
2,10,right,4,4,0.012286205254526594
2,10,right,5,3,0.01228620891110593
2,10,right,6,2,0.012286209226875205
2,10,right,7,1,0.012286209256812383
2,11,right,1,7,0.012286216160904716
2,11,right,2,6,0.012286216160904716
2,11,right,3,5,0.012286216161555176
2,11,right,4,4,0.012286219146977681
2,11,right,5,3,0.012286220783639107
2,11,right,6,2,0.012286220920623382
2,11,right,7,1,0.01228622093241135
2,12,right,1,7,0.012286224238583419
2,12,right,2,6,0.012286224238583422
2,12,right,3,5,0.012286224238888508
2,12,right,4,4,0.01228622572513989
2,12,right,5,3,0.012286226468915041
2,12,right,6,2,0.01228622653054192
2,12,right,7,1,0.012286226535183633
2,13,right,1,7,0.012286228133959357
2,13,right,2,6,0.01228622813395936
2,13,right,3,5,0.012286228134103547
2,13,right,4,4,0.012286228875958444
2,13,right,5,3,0.012286229218732451
2,13,right,6,2,0.01228622924743288
2,13,right,7,1,0.012286229249260741
2,14,right,1,7,0.012286230028701724
2,14,right,2,6,0.012286230028701724
2,14,right,3,5,0.012286230028770308
2,14,right,4,4,0.012286230399830829
2,14,right,5,3,0.012286230559855976
2,14,right,6,2,0.0122862305736371
2,14,right,7,1,0.012286230574356755
2,15,right,1,7,0.012286230956920906
2,15,right,2,6,0.012286230956920906
2,15,right,3,5,0.012286230956953708
2,15,right,4,4,0.012286231142853148
2,15,right,5,3,0.01228623121844816
2,15,right,6,2,0.012286231225234095
2,15,right,7,1,0.012286231225517287
2,16,right,1,7,0.012286231414330032
2,16,right,2,6,0.012286231414330034
2,16,right,3,5,0.012286231414345808
2,16,right,4,4,0.012286231507600701
2,16,right,5,3,0.012286231543691966
2,16,right,6,2,0.01228623154709865
2,16,right,7,1,0.012286231547209984
2,17,right,1,7,0.012286231640820473
2,17,right,2,6,0.012286231640820476
2,17,right,3,5,0.012286231640828092
2,17,right,4,4,0.012286231687656881
2,17,right,5,3,0.012286231705049966
2,17,right,6,2,0.012286231706784133
2,17,right,7,1,0.012286231706827848
2,18,right,1,7,0.012286231753409493
2,18,right,2,6,0.012286231753409494
2,18,right,3,5,0.012286231753413193
2,18,right,4,4,0.012286231776948285
2,18,right,5,3,0.012286231785398788
2,18,right,6,2,0.012286231786289821
2,18,right,7,1,0.01228623178630696
2,19,right,1,7,0.012286231809555504
2,19,right,2,6,0.012286231809555504
2,19,right,3,5,0.012286231809557305
2,19,right,4,4,0.012286231821393555
2,19,right,5,3,0.012286231825527915
2,19,right,6,2,0.01228623182598837
2,19,right,7,1,0.012286231825995073
2,20,right,1,7,0.012286231837626012
2,20,right,2,6,0.012286231837626012
2,20,right,3,5,0.012286231837626893
2,20,right,4,4,0.012286231843582913
2,20,right,5,3,0.012286231845617534
2,20,right,6,2,0.012286231845856211
2,20,right,7,1,0.012286231845858829
2,21,right,1,7,0.012286231851688784
2,21,right,2,6,0.012286231851688789
2,21,right,3,5,0.012286231851689217
2,21,right,4,4,0.0122862318546877
2,21,right,5,3,0.012286231855693901
2,21,right,6,2,0.01228623185581777
